,2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-13,2020-04-14,2020-04-16,2020-04-17,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-27,2020-04-28,2020-04-29,2020-05-04,2020-05-06,2020-05-07,2020-05-08,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-28,2020-09-29,,,,,,,,,,,,,,,,,,,
두산중공업,2.989247069,1.73140272,2.625214375,3.115022604,3.048652515,3.626094155,3.597601065,3.30437654,3.145444504,2.950282262,3.089627739,2.899653029,2.683330455,3.008958896,2.7309404,5.496849274,19.18490087,5.949812767,11.25144114,20.45900812,12.34897585,7.317252276,6.026338588,1.923151955,3.046787869,3.122030758,2.279586967,1.347957428,0.232199915,8.00116203,17.8549182,25.61892909,18.62164294,13.33521558,7.462115036,3.727567148,14.73875391,4.63222173,2.814511396,3.162995047,4.52573143,2.936513427,2.940632834,1.780683862,5.654307709,4.004793088,2.279564623,22.77087601,392.5557879,6.720293498,126.9920122,48.19517164,85.03675999,58.68155404,59.20112751,58.59661983,54.90929957,80.5443919,89.67399503,91.31977091,97.05220887,87.92103804,76.20207384,77.04319704,47.90026215,34.17206475,3.546439506,4.55946149,2.353976742,3.860002013,2.781347609,1.306672558,0.748076406,51.38306545,22.47333442,16.58727167,15.23687141,13.83858508,12.63582343,12.40679808,14.85037318,13.73144459,12.21611932,11.73936459,11.03897618,10.55393566,5.041941366,3.217927203,3.067262069,2.536962111,1.613740537,1.022076343,1.136206126,3.590173793,4.075980164,4.156839521,7.218722637,4.690625055,5.187839002,20.73686346,22.55175674,23.21931531,23.66104826,29.17951225,28.60979183,27.42294018,25.41713107,21.75217587,20.37689996,19.571225,19.83502455,20.70800423,22.85848212,26.94799486,27.41671439,23.54317747,20.65463324,7.90784036,12.67405356,5.087638218,5.341534027,4.157348433,8.758644846,29.80184562,4.943330437,9.10188939,2.749238906,1.501288653,2.507850284,3.351575201,2.371625457,1.741926478,9.054020165,3.314652106,4.153349312,4.428502453,3.454778729,15.22449761,822.465389,345.3733833,11.39366324,49.99229377,42.48153592,182.3398186,79.60038481,20.26551571,39.15834852,200.1651244,28.73439739,30.4377091,47.4548831,30.1318107,29.78341807,32.9111044,17.30631929,0.90744221,11.29546552,10.26127634,10.73062717,7.072927423,5.584173677,4.084132226,5.5858708,6.127449276,5.282190349,64.68897392,215.8161751,45.82008301,45.40523054,49.58031365,45.56416588,47.20058094,58.56047971,70.64625269,51.99659897,48.96780298,49.17776269,48.84260801,51.44342316,51.89828805,54.56421598,56.96592829,6.439094279,12.68401383,3.429350121,6.705399065,10.78079791,,,,,,,,,,,,,,,,,,,
쌍용자동차,13.41732523,12.1577889,8.571554421,8.180590494,4.994173543,19.64963533,14.34994549,7.486603179,5.382273219,4.426237117,9.34228004,11.82685433,11.29242402,11.7518006,10.55335467,9.54646046,10.32877365,11.97033681,10.73420642,10.48922984,10.20547579,7.930887589,7.63210889,5.430757144,9.757156525,6.750647927,4.204753941,3.617699001,8.845647805,8.750527839,10.11011273,9.231211256,8.57655582,7.562008979,7.319592377,6.905812209,6.946352248,6.930619193,7.135859063,6.945101715,6.895029019,5.348153697,4.506938819,3.710530476,2.710852808,1.852568968,0.977522555,5.284089328,5.598150382,5.249105349,11.25514786,10.90935275,11.49629467,13.15515002,31.77409905,102.0066843,45.67321701,96.04331087,117.1489656,18.89978948,30.10301879,15.45073184,37.07705446,24.06029749,25.8526695,26.39506104,25.71498921,10.86687746,23.08697467,10.45022455,6.247135326,10.84780502,4.937564296,4.956289785,26.83249394,11.92805266,12.8177013,14.62411838,13.89363152,9.762427523,9.172784254,8.439257202,8.328094645,9.920480059,8.425964921,7.817628404,8.895185115,8.314487412,8.291292352,7.610111161,2.453437241,1.860331891,90.27378076,99.29242856,44.55404639,3.498315893,2.633117351,14.26900775,35.16729029,80.1725175,32.1258759,16.59880242,13.26962254,13.70330415,13.70056277,19.1788476,23.33398852,338.8573536,38.18778408,38.93824606,50.66499694,50.62662271,48.16659733,28.46610968,26.17687241,188.8158575,830.1678051,837.831079,837.3697238,790.5407304,119.657869,98.71985494,59.93519806,170.8145446,59.12783687,39.29923036,20.75084798,3.344696447,325.6040646,97.81414092,72.85995555,85.44288547,78.45944642,56.31352761,57.49830113,14.98082867,42.76885491,12.54115194,15.15628664,11.84087252,9.925534612,6.218141756,5.843303656,3.442393184,2.101874647,2.308344972,1.909756049,3.64908593,4.179150783,3.466827989,3.150060954,3.085752581,4.571914736,5.067098766,19.59619414,15.87866424,6.4871142,2.902681953,26.62602055,39.01544692,46.34460671,40.95392213,27.42803086,13.86020817,14.18346309,14.51468324,13.85322943,13.6871103,13.62476562,13.53064723,14.9346926,12.15111552,1.969374247,1.783380182,16.86504388,14.33204932,83.17971734,310.5137635,198.6810873,103.6224219,57.46176568,48.53626641,65.89287616,62.69295969,68.73642145,68.48671156,67.97550412,,,,,,,,,,,,,,,,,,,
KG동부제철,4.335278931,4.460256236,4.44041834,4.39671337,4.309747177,5.385635925,5.29146801,5.145356429,4.80412106,4.150248092,3.914100054,3.763060248,3.502495086,3.50475378,1.490378438,1.253414929,0.910240246,1.744593515,1.984797654,2.556921063,2.330600397,2.200987922,2.200035158,1.999500169,3.041023066,3.107932873,2.877964015,3.116545566,2.700457866,2.500935699,2.376177992,1.643831915,1.218298043,0.533568944,0.771146957,0.751542244,0.72106394,0.666922697,0.551263272,0.679083343,0.724817862,0.520623118,0.776334039,0.934378024,0.881004589,0.818595806,0.910417866,1.67087117,1.609744879,1.520226177,6.004193351,5.963480972,6.570638742,6.984026745,26.90123895,113.2992131,84.64505902,21.92970523,48.07378615,47.75783584,25.59087293,32.4360704,29.28428286,28.36143469,29.59059644,29.0565282,28.87032894,31.63167214,13.41806556,9.2997341,2.80750405,69.37896909,443.102953,40.94394174,54.98501867,63.29883529,61.20781872,209.1382431,91.35506738,96.92098222,121.2155818,129.7955507,124.8736371,114.2748472,104.1463524,97.50812242,92.43523617,59.47339197,42.92877511,16.89353783,14.84548758,19.42663947,12.82153774,9.042645842,10.27345212,8.108580505,7.886473101,5.471911991,3.747622195,3.662127196,16.91879392,431.4739999,11.25059812,11.31866474,61.85810526,30.83456074,16.8401709,13.13224098,10.32584012,49.90525667,42.82766253,75.25630533,222.0325293,50.5221164,86.28839922,77.61762116,69.9199443,69.2751721,32.36169667,27.4037875,32.96429189,26.48372978,7.354544763,5.548379106,3.974479221,27.08585189,106.0468062,11.73070301,6.308321475,17.77279735,10.69037257,12.95545878,12.76856437,10.98863271,9.766363178,9.273479609,8.749769205,9.023284625,7.118242095,9.400002629,9.388372094,6.805260928,7.515766386,7.225372515,6.723747036,6.713115139,6.044489648,4.648939641,4.426703774,6.090037941,4.189422191,11.01071971,11.81266962,157.9765287,58.38555282,18.74011411,56.52319132,34.07605599,16.48239396,23.47062773,19.84738963,13.93021952,9.424573202,10.0990934,12.01939146,24.93562827,10.15335966,10.29148727,6.91705764,4.689026402,4.093724386,2.778886761,4.898531396,4.249625081,9.122320521,8.352741874,12.75618353,9.740928347,10.97972796,12.08943113,11.84700605,20.57494475,24.92770374,80.1164754,80.54658718,59.51631893,34.54773124,,,,,,,,,,,,,,,,,,,
에이프로젠제약,58.60492242,13.93841017,7.862003813,13.26034238,10.92198804,14.33468335,18.32547846,20.49607745,19.13021466,18.13039088,15.64559471,20.97446648,17.81069205,16.94195204,16.34721065,17.59047242,16.51811739,32.40170665,38.91127106,40.54921273,47.56059672,45.91587303,44.7905958,30.4743805,111.0238065,112.7729357,111.7938196,109.7821307,107.2726553,98.78958266,85.53764221,81.85249829,76.40334115,75.10693858,72.26436383,23.03497589,62.49999036,10.78447005,5.778027123,4.44455171,2.792560534,1.516779023,3.735735278,6.480084528,5.40946865,4.657559789,3.601446861,7.041510555,6.660971857,7.273107941,17.34683742,17.30773009,16.55406068,15.98251225,24.14154115,26.08840996,24.74652012,28.43115268,28.12755339,28.57773672,49.8723332,50.20075787,48.76366266,54.69068169,50.25862994,40.38929688,39.21761553,28.99985249,24.06000879,31.14231552,33.23930956,21.65481253,16.79821504,25.44228656,13.95774448,40.03723077,39.90419298,33.93290194,29.43672121,107.1361894,439.6595736,368.9294072,79.02644962,86.07482558,80.34730897,92.15944604,83.61116544,82.48481373,80.5323554,78.72160528,83.47324665,83.62737221,81.83193837,80.11580395,77.9993727,65.5023134,5.489320407,21.00547351,7.136346607,5.786906502,11.74783527,129.652349,19.46845303,9.407535614,7.391654334,17.50838398,10.1575629,9.789672894,8.992081542,10.02166826,7.794801893,7.011942741,49.21769846,9.034218266,19.30989535,17.48619302,12.02314928,11.98401882,16.98255152,9.062703817,12.18050587,12.45025962,11.40088417,10.37219648,9.868366944,9.601961978,9.231950921,5.559705208,7.83960018,6.369454431,4.942827174,5.045766985,4.118770373,3.416827487,3.261657475,2.534684985,2.958064784,2.753365756,2.483045561,3.263080401,6.350430171,5.842976992,4.751435197,4.479829079,4.213237126,3.435858642,3.781253331,3.680172019,4.860761224,4.244320685,4.073781735,4.048567692,2.737392277,2.085813894,3.705592899,4.112241233,4.372516459,5.692903798,46.2571393,8.965729519,11.68235337,8.912415466,14.63498549,15.92198083,6.650982657,6.61203134,11.83897139,7.778691254,12.7796655,9.542815357,12.49498888,9.585290304,10.17028228,13.66790013,13.31860653,12.18156445,11.71568074,10.65062693,10.53951988,10.05094393,6.519883712,5.541357669,8.324566157,4.575179104,5.771287153,5.519087248,13.39030018,,,,,,,,,,,,,,,,,,,
현대일렉트릭,29.31407454,28.71376894,24.77474421,24.4255337,23.46330467,24.32769406,23.94463723,31.18107326,34.09499138,23.78379647,22.6753087,21.39168894,18.91485593,18.8382341,24.34378644,17.96086754,20.29147148,35.54976141,6.927800863,9.765058981,10.73342429,5.617679068,39.59817606,16.93435071,22.6444582,11.25472572,9.959690323,11.03207684,10.23971135,9.537554646,9.186723001,10.43407359,10.02187829,9.560369612,5.523616263,4.341287304,9.509595791,9.276136966,8.288044421,8.52728989,8.464926897,8.112611615,10.06117954,13.90943022,10.83076998,5.184247782,8.932587612,10.47400344,13.23183618,10.40152075,30.91006399,30.42164087,30.28894807,33.25549421,51.31264829,841.8982711,184.5821652,101.6603382,104.495884,32.6515251,44.11255502,52.62791014,109.6900558,40.3536596,47.7846806,42.61407242,56.99508376,4.115856577,17.58190549,16.87159157,5.534776308,13.49242545,3.43621551,7.959326021,2.276440028,3.483018847,3.809908562,3.768821086,3.019553142,7.480942969,6.849069086,8.512927253,8.050774496,10.39364563,9.842691036,9.343792769,8.02471503,7.299613429,7.042916812,6.867573012,7.600265756,5.134122858,3.087946387,11.33506032,10.71070211,10.58610702,14.40452227,10.98747817,13.10216905,15.46669946,16.04616321,15.93705713,19.40618636,18.30129713,20.23123957,20.77730562,17.63295007,16.37531184,13.60092757,12.88355774,11.46148194,12.7811007,15.99577519,16.82391281,16.11784604,15.38272586,11.56934255,9.063993188,7.484315606,7.806235469,6.872186951,8.455004894,7.930980917,16.04530068,6.255570135,5.455077559,4.056967123,10.77422681,5.039319219,5.121856839,4.135382284,2.620860321,3.327002387,4.281735293,17.79071493,4.136459107,3.836390418,4.142266341,24.58434875,24.0996184,26.0179555,26.04185501,31.01966503,31.58925826,46.27891878,46.65820581,45.74594623,44.34763831,39.13946673,36.57347309,33.96265692,33.65078903,32.37331514,18.36236884,18.31128094,13.78555586,11.17598498,30.02693916,17.22853702,19.67827419,17.03152781,16.20164095,20.54582569,22.68085038,24.11813411,23.99890995,22.96820109,21.2477651,18.79424465,28.72893142,120.9349507,83.58296092,32.78092604,29.52160521,51.47317375,37.01666438,50.04501933,25.33777301,43.19775518,29.31460729,29.10082657,40.95460192,31.0187427,36.4982319,32.99691004,32.58747968,13.6130138,,,,,,,,,,,,,,,,,,,
한진칼,50.09270094,29.13282494,29.59423405,28.87833624,29.43162292,29.56278617,31.4369461,30.60172908,30.30120251,31.25481435,7.433574544,3.975042479,2.278460047,2.087226746,4.239004168,4.169286802,2.733730153,4.556488251,4.353439437,2.523055234,2.769546976,2.602981902,3.878312925,3.469550347,3.105361441,3.101619463,3.389193424,3.256837122,11.95184704,93.73136127,22.12978016,3.21337553,5.724219023,4.588968101,3.800437254,4.388698197,1.775202279,2.253458915,32.39373953,33.55755259,31.00072495,29.24488522,52.67096805,48.87010223,49.46096581,77.14174218,75.5045441,85.04155053,89.92651073,86.63725297,83.59246074,70.4665947,75.43985895,102.2586541,88.45904306,179.2166629,175.1067657,227.3107705,220.826994,206.4158381,281.9327568,658.9346523,342.1680358,327.8773127,323.0214222,289.8146563,254.3778877,262.8001913,257.8179064,183.1828107,135.1280033,102.4631858,83.67084555,55.96936068,137.2532027,486.3997365,156.5116325,153.616402,118.8755693,148.144941,103.4757728,103.7512728,98.31506435,101.1881108,89.19241945,68.89191192,60.94945381,61.73548144,60.38459489,115.0890392,74.14594338,22.82043293,31.79328442,21.14313861,23.07032639,20.99541824,15.87751383,12.49030512,37.72794987,35.22827489,33.4565382,37.00598525,36.31885648,31.12084474,30.01567561,22.39547722,19.21551812,15.49471783,20.37560634,19.00141251,19.25271229,23.41469653,26.42155561,26.46344126,20.93525227,17.05466212,8.705761436,7.851019442,5.873384041,5.416105354,12.73422552,6.634127468,8.603263151,5.818739879,27.41067814,10.6111975,10.05610851,10.65753067,9.161898979,16.95354427,8.516549628,7.406106014,10.3926726,9.018023421,8.116886384,8.116638123,5.959983965,6.857891692,7.793782449,10.1521652,11.33995727,10.85381808,9.875266705,6.101533692,8.951359716,6.785782271,6.784596316,8.049528502,5.513449702,5.077676709,6.878560043,2.983573703,3.420996204,2.719907208,2.99501569,2.676871183,2.261195968,3.55238255,1.997636031,4.90759305,4.751095271,4.536859208,5.087447828,4.894274391,5.446635722,5.332077598,7.446070953,7.034333715,7.205796741,6.852048628,6.11840562,5.671009096,5.470267079,5.19818991,3.163309437,2.193145032,2.706151441,4.131420721,4.230663762,3.232057001,4.323646224,9.3885822,14.41413923,5.350577773,17.65111554,11.25650819,6.061812941,,,,,,,,,,,,,,,,,,,
SK디스커버리,2.879089206,0.892775232,0.703704615,1.046015954,0.959844888,2.783779795,1.192630342,2.775642772,8.63249658,5.272681713,2.200476172,2.460634754,2.112707722,1.759458283,2.277414043,2.028838554,3.054827145,4.616284725,3.984822045,3.787276887,3.795681962,2.778858771,2.563214975,2.52229128,4.128858866,3.69537879,4.147804435,4.42544744,6.37860992,6.507546415,6.130881557,5.856006245,5.950067652,5.247910812,4.369769611,4.671446637,5.990211048,7.087456206,7.134383517,6.883593814,6.507600626,5.439538779,4.444000948,5.840099876,5.045434173,4.425461172,3.635319641,4.266322766,4.489904506,3.677334801,18.91557893,18.71056202,19.43785593,18.65406371,30.0160762,38.66132889,40.54508124,44.02763641,46.1592639,45.13363222,42.82305005,42.69807892,61.24577412,59.42106536,69.96627046,63.73250733,54.3800874,54.3038353,46.26669973,47.14109712,49.03213797,32.40976669,30.41924751,36.37316064,34.10795767,30.90767483,31.57267754,19.63562513,16.32696949,14.06029743,9.005777758,7.273012891,6.020438875,11.94978912,19.98933358,6.83562193,5.31873415,7.737682979,7.415933438,6.668873069,6.843638205,6.384947577,7.31107589,5.470416191,4.680919525,3.711472074,5.354219626,4.838119627,8.774067084,6.972404585,9.992520581,10.68747702,10.40101417,9.916763117,9.440749956,8.09057596,7.474616863,7.031419794,5.178582711,0.401410384,2.292409314,5.639933758,37.92792496,16.70340546,11.1055661,3.395174261,6.524661005,11.39968807,2.641010728,3.285832875,9.760238161,3.202694936,16.40172667,17.26397745,56.74476737,363.7225247,187.7507507,89.2427458,56.98290694,35.6167744,22.78435788,32.34420373,21.98804134,27.32775042,25.15178213,20.83380673,31.5353957,19.50499983,3.358298471,199.3308397,102.8810949,81.1884372,76.18024699,70.17969587,85.32224991,81.38884437,75.92642505,66.47010552,61.84895774,59.6016929,56.26186695,53.38340198,113.1562448,99.64621743,96.52486174,93.94154602,81.17668362,86.56718246,98.77194128,100.48913,88.83988318,80.51997031,75.19834877,73.52359228,71.66291608,70.39717089,34.13589207,23.906245,16.19517734,10.30566594,7.188945145,8.072655798,10.4008077,11.21959425,9.191059001,7.017323503,10.65593925,9.69140206,13.26572971,12.73289528,12.34228554,10.93837932,12.48209254,11.56140116,13.04797791,65.15798637,5.455727415,,,,,,,,,,,,,,,,,,,
이월드,15.19799328,15.31262903,14.09855503,13.59023748,12.84451042,14.17662708,22.39306837,18.79039277,20.90552654,22.52970596,20.82259609,23.09124966,18.83109729,18.34932839,15.49727693,15.8209219,12.56156819,19.09745094,22.37266642,24.84931555,21.33344382,21.64280149,15.19820448,8.22765625,13.27823883,14.6821093,8.789301312,7.717136399,6.682951264,8.14690416,6.239944304,1.499033773,1.106001504,1.946218308,1.921371441,3.637219505,45.06410822,69.51909121,4.3255849,14.49707805,14.48692425,28.28725423,5.514922702,27.49980438,6.805047121,2.148080044,2.023147422,1.073790104,26.69161746,15.53774538,38.06625242,38.20499227,45.05346215,47.24766278,55.94021042,59.50816088,63.15313747,67.62754978,71.41122934,145.4229787,146.2427384,147.7735853,143.0531439,138.3906354,118.011086,109.1901588,132.3028878,127.7118642,121.5508674,112.0351531,78.58284195,115.6179996,83.46025522,102.6564539,70.13382437,65.17612005,46.10967676,29.51555051,56.41758135,23.88540333,15.27749488,2.516780831,6.964665866,4.172530233,2.441418711,1.597664339,1.605623632,3.319498632,2.310875206,1.603006632,1.995053241,5.003163545,4.766763768,6.811263625,6.30293212,5.965972532,5.45415064,5.968131828,5.286575118,9.316306256,9.60440258,9.927564755,9.105375993,8.529329652,8.480403263,7.44019706,7.186975683,7.036195687,5.697784006,5.50603903,6.571880183,6.796600314,10.23980558,18.54499178,9.293467922,10.13366223,9.398889718,2.278989757,9.462977262,11.04009253,5.638405091,6.223740494,7.058594431,4.507711198,6.479344879,19.46056107,7.902446043,11.46884991,14.96774683,5.719654511,8.577455362,6.351560632,5.749895062,5.441516073,5.273869813,3.45898068,2.502067723,2.476846232,2.015909263,1.636487889,1.263818306,1.182587849,2.643948256,2.304242633,2.583181081,9.751358628,3.472058515,3.310968731,1.419473877,3.237937818,2.811216277,1.864771159,0.674409465,3.428364105,2.240955787,2.81993179,3.018656944,12.86044253,13.50430406,45.39954715,57.4026178,11.07651045,6.828744443,3.095696942,5.98531842,3.11559074,3.164107249,4.493154961,3.725730591,2.958165658,5.413179424,3.419525006,2.769080502,3.940811981,3.118590596,2.6305904,2.315286922,8.669693633,2.828175194,3.509200699,3.257371716,3.811296874,6.128830979,5.915981774,6.618019971,6.372696233,6.500110259,,,,,,,,,,,,,,,,,,,
신성이엔지,1.128755151,0.880811638,0.655516974,1.397414457,1.305438234,1.694266614,9.552919767,7.725054412,5.337347191,1.869222637,1.662702587,1.18925897,0.690170189,0.620963248,2.554554068,1.091662688,2.589657742,11.51997968,4.116890294,3.985574434,12.47831855,4.035019274,6.631065727,9.041952381,37.45193096,3.492980025,1.35716958,7.039654677,2.694842896,1.606486838,1.498449117,2.086834833,3.862102866,2.54488856,5.947712433,4.575081226,10.47831925,4.600634354,3.750608267,3.185682189,4.922139591,4.261481375,4.146112637,5.556186704,5.377584784,4.933535075,4.523392747,5.817963326,5.751865082,4.946355227,30.25256644,30.04826965,29.45374707,28.50179107,40.09466344,45.62883876,46.76359309,54.68697652,70.57666954,76.17524759,94.84866555,91.90908481,87.00178858,80.86052025,70.24405625,66.42766665,40.37785936,27.36947619,2.291538999,18.99991838,13.34739164,18.05273729,20.37866708,10.96666022,7.309311076,6.932250338,11.35679284,8.317852967,5.263420187,6.175827875,5.18310398,4.038395839,4.052563889,4.060210014,5.180796048,2.463610845,1.677760786,3.242477669,6.279957122,3.681365985,3.655991535,3.97171369,3.384121292,3.224411043,2.572996792,5.698881806,6.835822683,9.285859352,4.161378775,53.24203814,57.59705362,59.44418767,67.09685565,66.31883264,66.3982937,63.95473247,63.45965424,57.33658091,52.93250277,49.86122345,53.37722149,51.36422832,62.6837903,63.88923789,44.71035661,35.44674427,32.14381214,45.25736972,40.83529623,39.88348701,39.66577445,45.96263906,40.63706838,37.18732145,35.36193589,33.54108657,17.91471866,11.65474282,0.47097535,0.532749435,9.113638703,17.48495832,36.07972151,93.43272674,27.23756968,7.317403548,4.52845105,3.288190761,25.77399992,38.92771426,45.4708927,9.736239686,8.592905472,6.546970298,5.457843862,16.34278067,10.99771328,14.98092837,7.408836592,15.36621561,5.731875836,15.81586731,6.67942524,7.206030968,11.42112053,7.758959949,10.06716264,6.385496683,8.353961872,11.44028518,409.8355045,41.7648827,42.63948457,52.35025388,50.88533473,56.7551714,55.29583083,52.73609319,47.05290878,43.11092979,116.0321796,130.771135,130.4349937,121.6099713,91.38731731,90.30056469,89.47945232,88.19274078,84.68648863,73.36170823,71.34331617,69.66371749,75.8708207,68.35112186,65.01325796,23.73089293,15.78812106,,,,,,,,,,,,,,,,,,,
에이프로젠 KIC,44.76636687,13.26640416,8.598019448,10.37952929,7.173392164,13.6030061,17.20455959,18.00448075,16.71607791,14.35166268,13.20318253,13.85905502,13.60395763,9.981011227,7.734758127,5.937449322,9.607390273,4.277687461,8.439116478,10.82812847,29.41647365,24.40946015,11.95136554,5.850669313,122.0117749,118.6059013,50.10936685,50.33421794,49.32340224,48.80854886,47.13860127,51.07568371,43.39946869,40.08875454,38.65602424,37.89869479,37.86777384,12.47782728,7.608213632,4.831229464,5.113533097,3.875449079,4.867364342,6.447090975,6.4101045,5.250560806,4.223092907,6.268268579,6.077111977,5.735000586,30.66388278,31.7096296,34.01846257,33.58424094,62.54093909,67.362916,67.64641728,72.67637153,79.43613273,83.24622443,95.40235161,91.85012912,87.93684608,79.53560311,76.83979968,73.62948836,45.07772022,29.25080014,17.51784516,14.1989477,12.00073823,11.83229643,8.407828362,11.87451349,9.622155688,12.07087484,15.14262354,11.07131523,8.719540761,80.5072888,434.5383398,94.29980186,63.34099678,80.63220522,62.97553423,61.00601678,60.87879179,60.3245703,59.84015985,66.36996703,46.62211849,33.55322545,24.75257064,30.85472581,35.85636874,4.940809599,13.36894125,3.613139907,3.13742821,3.506077876,3.525414567,2.913996778,9.368799859,10.14335686,49.11214472,19.44916642,3.741954024,7.288119488,1.381514638,0.797493391,1.572914741,2.838760193,30.21778054,12.050835,12.6938959,53.99375704,8.809957704,3.695451541,13.61182344,11.86519114,27.12658589,27.14326874,26.21707327,24.62254115,23.91091664,23.31379202,19.87503219,18.39270293,18.55095355,17.99014197,9.577964503,8.177326273,5.68422298,4.94399555,4.33147071,2.680663681,1.882323367,2.33738416,3.619691754,3.63959721,3.700268847,4.001981219,3.334857707,2.734494,2.813646117,2.274718063,1.745171649,0.962838584,4.744524612,4.297588038,4.118935488,4.107773383,3.564210393,3.386115468,2.694093639,4.812340976,6.207886704,7.697051962,7.532195174,7.278453875,8.729101395,12.69532285,12.17977456,14.05728439,17.39910679,17.49336712,19.43680114,19.90350735,19.12006016,17.41294585,16.85152443,15.30472531,34.48972791,163.0933913,31.26907301,27.25057939,26.16208729,26.19380656,26.78507037,27.04810629,21.6390363,25.00151554,18.51468088,19.55847803,20.48200558,14.8869884,125.3952233,,,,,,,,,,,,,,,,,,,
